@relation 'weka_v3-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-V-R1-13,339'

@attribute lowLevel.barkbands.stdev.17 numeric
@attribute tonal.key_key {E,F,G#,C#,D,G,A,B,C,F#,D#,A#}
@attribute lowLevel.sccoeffs.stdev.5 numeric
@attribute lowLevel.scvalleys.stdev.3 numeric
@attribute lowLevel.barkbands.stdev.19 numeric
@attribute lowLevel.scvalleys.stdev.4 numeric
@attribute lowLevel.spectral_complexity.stdev numeric
@attribute lowLevel.spectral_spread.stdev numeric
@attribute lowLevel.barkbands.mean.17 numeric
@attribute tonal.chords_key {C,F,E,D,A,G,C#,B,A#,G#,D#}
@attribute tonal.chords_histogram.19 numeric
@attribute tonal.chords_scale {major,minor}
@attribute tonal.key_scale {minor,major}
@attribute Performance_Level.0 {low,high,mid}

@data
0.000062,C,0.02588,0.463981,0.000176,0.368351,3.928761,6736139.5,0.000039,C,0,minor,minor,mid
0.000072,D,0.021902,0.504228,0.000219,0.353696,3.82643,6170010,0.000045,A#,0,major,minor,mid
0.00046,G,0.033609,0.627855,0.001179,0.55537,6.28137,5595355,0.000172,G,0,major,major,mid
0.000019,A#,0.018092,0.514916,0.000115,0.31012,3.254925,5524102,0.000019,F,0,major,minor,low
0.000016,C,0.018152,0.608372,0.000067,0.258966,3.062108,6010482,0.000017,C,0,major,major,low
0.000021,B,0.016714,0.743915,0.000045,0.41882,3.462687,5631124.5,0.00002,A#,0,major,minor,low
0.000011,C,0.015071,0.486048,0.000045,0.230574,2.589705,4298698.5,0.000015,G,0,major,major,low
0.000012,C,0.01828,0.566757,0.000023,0.413255,2.819136,6249956.5,0.000009,C,0,major,major,low
0.000023,F#,0.017625,0.593433,0.000064,0.381157,2.838182,6265275,0.000012,C#,0,minor,minor,low
0.000016,F#,0.019797,0.493471,0.000045,0.327956,3.199206,6443344,0.000012,G#,0,major,minor,low
0.000013,D,0.018924,0.431142,0.000035,0.307782,2.631456,7997787.5,0.000011,A,0,major,minor,low
0.000019,G,0.018117,0.52146,0.000051,0.273006,3.141033,6347160,0.000018,E,0,minor,major,low
0.000025,C,0.017609,0.721123,0.000057,0.386216,4.05596,7549941,0.000024,C,0,major,major,low
0.000021,G,0.019012,0.514156,0.000054,0.286304,3.171805,6339696,0.000022,E,0,minor,major,low
0.000147,F,0.024376,0.495685,0.000224,0.49508,4.809506,7179939.5,0.000078,A,0,minor,major,high
0.000155,A,0.020707,0.547802,0.000215,0.450734,5.351378,7708955.5,0.000064,A,0,minor,minor,mid
0.000036,F,0.019574,0.599737,0.000086,0.491064,3.278367,7048075,0.000021,C,0,major,major,mid
0.000014,A,0.016786,0.534298,0.000035,0.389008,3.244882,6548838.5,0.000015,A,0,major,major,low
0.000027,A,0.017573,0.514726,0.000043,0.311035,3.835186,7210432,0.00003,A,0,minor,minor,low
0.000099,G,0.019638,0.476902,0.000255,0.425435,4.313345,6606313.5,0.000078,G,0,major,major,low
0.000011,E,0.019332,0.694389,0.000018,0.665896,2.681914,5156136,0.000005,E,0,minor,major,low
0.000013,A#,0.018046,0.481273,0.000036,0.333027,2.795321,6016875,0.000013,C,0,minor,major,low
0.000062,G,0.023267,0.664771,0.000134,0.512627,4.737502,5692052.5,0.000043,D,0,major,major,low
0.000023,D#,0.020513,0.752704,0.000062,0.604264,2.804013,9802458,0.000015,A#,57.407406,minor,major,mid
0.000019,C#,0.02598,0.834282,0.000053,1.08382,3.554799,11279377,0.000011,C#,0,major,major,high
0.000022,B,0.022343,0.650517,0.000077,0.587385,2.94111,5383768,0.000015,E,0,minor,minor,low
0.000013,A,0.015662,0.562399,0.000012,0.346052,2.564367,6034049.5,0.000007,A,0,major,major,low
0.000067,D,0.019248,0.559381,0.000286,0.42781,4.449832,3692280.25,0.000031,F,21.428572,major,major,mid
0.000016,G,0.020894,0.597771,0.000057,0.396499,2.369638,6497122,0.000012,B,0,minor,major,mid
0.00006,D#,0.022443,0.430031,0.000138,0.516178,4.057919,7926372,0.000029,A#,0,major,major,low
0.000038,G#,0.018608,0.496273,0.000092,0.50884,3.607684,6608258,0.000024,G#,0,major,major,low
0.000008,C,0.021046,0.571479,0.000032,0.510786,1.755532,7864511,0.000005,C,0,minor,minor,low
